smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_5_raw_change_1d,smart_5_raw_change_7d,smart_5_raw_change_30d,smart_5_raw_rolling_mean_7d,smart_5_raw_rolling_std_7d,smart_5_raw_rolling_mean_30d,serial_number,date
100.0,0.0,84.0,340.0,100.0,12.0,100.0,2.0,100.0,0.0,100.0,11589.0,100.0,100.0,12.0,100.0,409.0,100.0,409.0,66.0,30.0,100.0,16.0,100.0,0.0,100.0,0.0,,,,,,,1RJEXUVG,2026-01-01
100.0,0.0,100.0,8061.0,100.0,9.0,100.0,0.0,100.0,0.0,1.0,41496.0,100.0,100.0,9.0,100.0,4.0,100.0,154.0,100.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,11J0A0JGF97G,2026-01-01
80.0,102766824.0,90.0,0.0,100.0,8.0,100.0,56.0,87.0,558157647.0,55.0,39950.0,100.0,100.0,8.0,100.0,2.0,99.0,3560.0,38.0,38.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZL2351Q6,2026-01-01
100.0,0.0,100.0,7923.0,100.0,8.0,100.0,0.0,100.0,0.0,30.0,28093.0,100.0,100.0,8.0,100.0,7.0,100.0,1431.0,100.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6240A26FFVKG,2026-01-01
77.0,49914328.0,91.0,0.0,100.0,8.0,100.0,0.0,81.0,135145359.0,61.0,34644.0,100.0,100.0,8.0,100.0,5.0,98.0,4498.0,46.0,46.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZL2MM80H,2026-01-01
100.0,0.0,159.0,413.0,100.0,21.0,100.0,0.0,100.0,0.0,92.0,59475.0,100.0,100.0,21.0,98.0,2483.0,98.0,2483.0,166.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,AAG74D7H,2026-01-01
100.0,0.0,100.0,8018.0,100.0,24.0,100.0,0.0,100.0,0.0,30.0,28034.0,100.0,100.0,24.0,100.0,23.0,100.0,1302.0,100.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6240A1PNFVKG,2026-01-01
100.0,0.0,100.0,8014.0,100.0,14.0,100.0,9.0,100.0,0.0,30.0,28071.0,100.0,100.0,14.0,100.0,13.0,100.0,819.0,100.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6250A00WFVKG,2026-01-01
100.0,0.0,100.0,8134.0,100.0,7.0,100.0,0.0,100.0,0.0,30.0,28088.0,100.0,100.0,7.0,100.0,6.0,100.0,1382.0,100.0,31.0,100.0,3.0,100.0,0.0,200.0,0.0,,,,,,,6240A1LYFVKG,2026-01-01
100.0,0.0,161.0,406.0,100.0,18.0,100.0,0.0,100.0,0.0,92.0,56052.0,100.0,100.0,18.0,99.0,2212.0,99.0,2212.0,187.0,32.0,100.0,2.0,100.0,1.0,200.0,0.0,,,,,,,2AGPRMLY,2026-01-01
100.0,0.0,100.0,7899.0,100.0,9.0,98.0,296.0,100.0,0.0,1.0,41498.0,100.0,100.0,9.0,100.0,3.0,100.0,152.0,100.0,36.0,100.0,69.0,100.0,188.0,200.0,0.0,,,,,,,11J0A0M8F97G,2026-01-01
78.0,60527120.0,92.0,0.0,100.0,12.0,100.0,0.0,84.0,281163755.0,92.0,7864.0,100.0,100.0,12.0,100.0,9.0,100.0,343.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZYD0WQC4,2026-01-01
100.0,0.0,100.0,7944.0,100.0,12.0,100.0,0.0,100.0,0.0,1.0,45009.0,100.0,100.0,12.0,100.0,5.0,100.0,17.0,100.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,20H0A19XF97G,2026-01-01
100.0,0.0,100.0,8022.0,100.0,12.0,100.0,0.0,100.0,0.0,54.0,18533.0,100.0,100.0,12.0,100.0,11.0,100.0,22.0,100.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,33Q0A0VCFVKG,2026-01-01
78.0,58886912.0,90.0,0.0,100.0,17.0,100.0,0.0,90.0,978306565.0,40.0,52891.0,100.0,100.0,17.0,100.0,4.0,95.0,11715.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZHZ4WV4X,2026-01-01
76.0,35793592.0,86.0,0.0,100.0,7.0,100.0,0.0,95.0,3505076783.0,94.0,5363.0,100.0,100.0,7.0,100.0,1.0,59.0,82835.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZA10V1J2,2026-01-01
82.0,168861704.0,90.0,0.0,100.0,321.0,100.0,0.0,90.0,965258639.0,73.0,23732.0,100.0,100.0,12.0,100.0,3.0,100.0,1277.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZHZ4WQR1,2026-01-01
100.0,0.0,164.0,401.0,100.0,16.0,100.0,0.0,100.0,0.0,92.0,57775.0,100.0,100.0,16.0,99.0,2178.0,99.0,2178.0,162.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,AAG6Z1GH,2026-01-01
100.0,0.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,0.0,92.0,58733.0,100.0,100.0,8.0,99.0,2202.0,99.0,2202.0,200.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,AAG6XYSH,2026-01-01
100.0,0.0,100.0,6333.0,100.0,11.0,100.0,0.0,100.0,0.0,58.0,17141.0,100.0,100.0,11.0,100.0,10.0,100.0,22.0,100.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,33M0A054FVKG,2026-01-01
100.0,0.0,100.0,7987.0,100.0,16.0,100.0,75.0,100.0,0.0,58.0,17110.0,100.0,100.0,16.0,100.0,15.0,100.0,28.0,100.0,39.0,100.0,65.0,100.0,0.0,200.0,0.0,,,,,,,33M0A05SFVKG,2026-01-01
100.0,0.0,100.0,7798.0,100.0,10.0,100.0,0.0,100.0,0.0,1.0,44945.0,100.0,100.0,10.0,100.0,3.0,100.0,21.0,100.0,23.0,100.0,8.0,100.0,13.0,200.0,0.0,,,,,,,20H0A16DF97G,2026-01-01
84.0,233829072.0,90.0,0.0,100.0,24.0,100.0,0.0,90.0,920831932.0,40.0,52912.0,100.0,100.0,24.0,100.0,6.0,99.0,2688.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZHZ4XEM5,2026-01-01
100.0,0.0,100.0,7891.0,100.0,9.0,100.0,2.0,100.0,0.0,30.0,28093.0,100.0,100.0,9.0,100.0,8.0,100.0,1431.0,100.0,45.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6250A08ZFVKG,2026-01-01
100.0,0.0,100.0,7879.0,100.0,20.0,100.0,0.0,100.0,0.0,30.0,28130.0,100.0,100.0,20.0,100.0,19.0,100.0,652.0,100.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6250A07DFVKG,2026-01-01
100.0,0.0,100.0,8011.0,100.0,12.0,100.0,0.0,100.0,0.0,57.0,17223.0,100.0,100.0,12.0,100.0,11.0,100.0,20.0,100.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,33Q0A0BSFVKG,2026-01-01
83.0,196247248.0,99.0,0.0,100.0,1.0,100.0,0.0,87.0,561728193.0,83.0,15211.0,100.0,100.0,1.0,100.0,0.0,100.0,753.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZL2MMETQ,2026-01-01
100.0,0.0,162.0,406.0,100.0,13.0,100.0,0.0,100.0,0.0,92.0,61643.0,100.0,100.0,13.0,99.0,2286.0,99.0,2286.0,181.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,AAG6TSAH,2026-01-01
76.0,43203424.0,84.0,0.0,100.0,9.0,100.0,88.0,80.0,103694907.0,94.0,5353.0,100.0,100.0,9.0,100.0,201.0,100.0,371.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZA10YQJ4,2026-01-01
100.0,2074192.0,90.0,0.0,100.0,17.0,100.0,0.0,89.0,765200844.0,40.0,52886.0,100.0,100.0,17.0,100.0,4.0,95.0,11172.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZHZ4X19W,2026-01-01
83.0,210401544.0,98.0,0.0,100.0,2.0,100.0,0.0,84.0,247301804.0,74.0,22983.0,100.0,100.0,2.0,100.0,0.0,93.0,15618.0,30.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,ZL2MMEP5,2026-01-01
100.0,0.0,100.0,8023.0,100.0,14.0,100.0,3.0,100.0,0.0,54.0,18524.0,100.0,100.0,14.0,100.0,13.0,100.0,24.0,100.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,33Q0A00VFVKG,2026-01-01
100.0,0.0,100.0,7985.0,100.0,23.0,100.0,0.0,100.0,0.0,32.0,27387.0,100.0,100.0,23.0,100.0,22.0,100.0,38.0,100.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6250A00XFVKG,2026-01-01
100.0,0.0,85.0,288.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,10234.0,100.0,100.0,12.0,100.0,431.0,100.0,431.0,59.0,36.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,1PGYMVNY,2026-01-01
100.0,0.0,100.0,7934.0,100.0,13.0,100.0,14.0,100.0,0.0,30.0,28060.0,100.0,100.0,13.0,100.0,12.0,100.0,802.0,100.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,6240A1LJFVKG,2026-01-01
100.0,0.0,100.0,8024.0,100.0,8.0,100.0,0.0,100.0,0.0,1.0,41489.0,100.0,100.0,8.0,100.0,4.0,100.0,142.0,100.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,11J0A0NPF97G,2026-01-01
